City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
432,thabazimbi,-24.5917,27.4116,18.8,21,27,0.67,ZA,1728236247
433,santo antonio do leverger,-15.8656,-56.0767,41.21,13,21,3.09,BR,1728236248
434,chahar burj,34.2448,62.1917,17.79,58,100,1.55,AF,1728236248
435,coyhaique,-45.5752,-72.0662,13.71,58,6,3.85,CL,1728235995
436,labrador city,52.9463,-66.9114,9.95,47,0,6.26,CA,1728236248
437,salinopolis,-0.6136,-47.3561,29.22,66,76,5.64,BR,1728236248
438,marabba,12.35,32.1833,31.56,42,18,6.46,SD,1728236248
439,ta`u,-14.2336,-169.5144,26.7,79,80,10.44,AS,1728236248
440,kerikeri,-35.2268,173.9474,17.17,89,99,3.58,NZ,1728236249
441,san sebastian de la gomera,28.0916,-17.1133,25.2,73,20,5.66,ES,1728236249
442,zhangye,38.9342,100.4517,12.49,46,7,0.61,CN,1728236249
443,tacuarembo,-31.7333,-55.9833,22.62,55,97,6.69,UY,1728236078
444,nemuro,43.3236,145.575,14.78,84,100,5.49,JP,1728236249
445,kulhudhuffushi,6.6221,73.07,28.11,79,89,9.23,MV,1728236249
446,port douglas,-16.4833,145.4667,22.33,79,43,3.66,AU,1728236249
447,kabare,-2.4683,28.8242,17.54,90,95,0.56,CD,1728236250
448,hafnarfjordur,64.0671,-21.9377,7.93,39,0,3.09,IS,1728236250
449,magnolia,33.2671,-93.2393,30.49,43,0,4.02,US,1728236250
450,bonny,4.4522,7.1681,24.62,88,100,2.88,NG,1728236251
451,ryotsu-minato,38.0833,138.4333,19.3,89,100,2.43,JP,1728236251
452,orhaneli,39.9033,28.9906,18.39,80,78,2.54,TR,1728236251
453,kununurra,-15.7667,128.7333,25.99,78,100,2.06,AU,1728236251
454,ikungi,-5.1333,34.7667,21.83,49,99,4.34,TZ,1728236251
455,sandnessjoen,66.0217,12.6316,3.06,87,20,1.54,NO,1728236252
456,port saint john's,-31.6229,29.5448,23.24,31,1,1.06,ZA,1728236252
457,pangkalpinang,-2.1333,106.1333,26.04,84,100,2.41,ID,1728236252
458,manggar,-2.8833,108.2667,27.85,74,67,4.5,ID,1728236252
459,rurrenabaque,-14.4413,-67.5278,35.94,46,40,2.06,BO,1728236252
460,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,70,100,2.0,RU,1728236253
461,bluewater,34.1745,-114.2713,38.85,9,0,1.43,US,1728236254
462,farasan,16.7022,42.1183,31.2,72,48,2.77,SA,1728236254
463,tadine,-21.55,167.8833,19.97,83,7,3.43,NC,1728236254
464,coronel suarez,-37.4547,-61.9334,21.25,38,98,5.74,AR,1728236254
465,saint john,45.2727,-66.0677,16.57,72,40,5.14,CA,1728236255
466,juneau,58.3019,-134.4197,9.0,87,100,4.39,US,1728236255
467,mizdah,31.4451,12.9801,26.84,38,60,2.38,LY,1728236257
468,verkhnevilyuysk,63.4453,120.3167,0.61,99,100,2.24,RU,1728236257
469,iron river,46.0927,-88.6423,7.77,70,83,6.62,US,1728236257
470,rongelap,11.1635,166.8941,28.08,73,99,2.67,MH,1728236258
471,san jose,37.3394,-121.895,33.62,28,13,1.79,US,1728236258
472,olovyannaya,50.95,115.5667,2.52,62,21,2.67,RU,1728236258
473,znojmo,48.8555,16.0488,11.67,76,68,1.51,CZ,1728236258
474,praia da vitoria,38.7333,-27.0667,21.14,83,40,5.78,PT,1728236258
475,caxito,-8.5785,13.6643,24.57,81,42,2.46,AO,1728236259
476,ippy,6.2679,21.2247,21.79,92,94,1.55,CF,1728236259
477,pitimbu,-7.4706,-34.8086,26.47,64,5,5.14,BR,1728236259
478,jalai nur,49.45,117.7,3.07,62,4,2.94,CN,1728236259
479,westport,41.1415,-73.3579,21.75,56,1,1.79,US,1728236073
480,hasaki,35.7333,140.8333,21.95,90,80,3.06,JP,1728236260
481,santa elena de uairen,4.6167,-61.1333,25.43,66,40,1.78,VE,1728236260
482,lerwick,60.1545,-1.1494,10.72,89,100,5.94,GB,1728236260
483,ceerigaabo,10.6162,47.368,21.79,56,97,1.82,SO,1728236260
484,porto novo,6.4965,2.6036,27.9,81,65,3.96,BJ,1728236260
485,saldanha,-33.0117,17.9442,27.03,76,100,5.47,ZA,1728236261
486,gerede,40.8008,32.1969,13.47,45,94,1.95,TR,1728236261
487,lan krabue,16.6,99.8489,24.17,82,73,1.56,TH,1728236261
488,manokwari,-0.8667,134.0833,25.59,79,99,1.46,ID,1728236261
489,constitucion,-35.3333,-72.4167,20.34,55,85,8.27,CL,1728236261
490,duong dong,10.2167,103.9667,27.0,89,40,0.0,VN,1728236262
491,kudahuvadhoo,2.6708,72.8944,27.08,79,100,6.78,MV,1728236262
492,lianhe,47.1333,129.2667,2.98,71,11,0.58,CN,1728236262
493,new smyrna beach,29.0258,-80.927,24.05,92,75,3.6,US,1728236164
494,zaragoza,41.6561,-0.8773,23.34,57,20,2.06,ES,1728236262
495,gizo,-8.103,156.8419,27.97,75,50,1.69,SB,1728236263
496,shache,38.4167,77.2406,17.46,30,55,4.42,CN,1728236263
497,sechura,-5.5569,-80.8222,16.91,95,40,6.71,PE,1728236263
498,bridgewater,44.3835,-64.5155,18.82,71,48,2.57,CA,1728236263
499,tiflet,33.8947,-6.3065,23.29,53,19,5.62,MA,1728236263
500,sydney mines,46.2367,-60.2177,15.56,83,100,6.17,CA,1728236264
501,seabra,-12.4186,-41.7703,28.51,41,47,3.23,BR,1728236265
502,sitangkai,4.6628,119.3928,28.65,73,100,2.96,PH,1728236265
503,freetown,8.484,-13.2299,26.84,83,75,6.69,SL,1728236265
504,al kharj,24.155,47.3346,32.32,16,0,5.46,SA,1728236207
505,taksimo,56.3444,114.8794,0.8,77,96,2.35,RU,1728236265
506,chebarkul',54.9749,60.3633,6.98,80,64,2.09,RU,1728236266
507,ulsteinvik,62.3432,5.8487,10.17,94,100,0.45,NO,1728236266
508,yeed,4.55,43.0333,32.02,35,100,4.92,SO,1728236266
509,aasiaat,68.7098,-52.8699,2.9,97,94,6.08,GL,1728236266
510,boston,42.3584,-71.0598,19.62,62,7,3.13,US,1728236121
511,pangody,65.85,74.4859,0.46,90,100,5.21,RU,1728236266
512,meulaboh,4.1363,96.1285,25.25,87,97,2.22,ID,1728236267
513,gorontalo,0.5412,123.0595,23.15,92,12,1.08,ID,1728236267
514,luderitz,-26.6481,15.1594,12.83,97,89,1.79,,1728236267
515,pirane,-25.7324,-59.1088,38.06,21,100,3.74,AR,1728236267
516,ullal,12.8,74.85,24.53,88,75,2.57,IN,1728236267
517,ashkasham,36.6833,71.5333,10.24,37,100,1.29,AF,1728236268
518,tralee,52.2704,-9.7026,12.38,93,66,4.75,IE,1728236268
519,vernon,50.2581,-119.2691,10.74,87,100,1.54,CA,1728236158
520,medina,24.4686,39.6142,37.24,6,0,4.12,SA,1728236268
521,coeur d'alene,47.6777,-116.7805,14.32,66,0,5.14,US,1728236268
522,kailua-kona,19.6406,-155.9956,23.64,80,0,2.06,US,1728236268
523,nema,57.5067,50.5011,5.38,53,95,0.51,RU,1728236269
524,buarcos,40.166,-8.8768,18.53,99,100,5.95,PT,1728236269
525,barauli,26.4,84.5833,25.86,82,32,3.12,IN,1728236269
526,inyonga,-6.7167,32.0667,24.51,40,50,2.28,TZ,1728236269
527,rosalie,15.3667,-61.2667,35.75,49,20,0.51,DM,1728236269
528,chul'man,56.8479,124.9104,-1.26,96,95,1.32,RU,1728236269
529,sandakan,5.8402,118.1179,25.82,94,20,1.03,MY,1728236130
530,suileng,47.25,127.0833,5.24,48,0,0.7,CN,1728236270
531,seybaplaya,19.65,-90.6667,30.7,69,87,4.61,MX,1728236270
